match_id,player_index,champion,subteamId,kills,deaths,assists,kda,goldEarned,champLevel,totalDamageDealtToChampions,totalDamageTaken,totalHeal,damageSelfMitigated,teamDamagePercentage,damageTakenOnTeamPercentage,abilityUses,skillshotsHit,skillshotsDodged,augments,gameDuration
TR1_1654572006,12,Sylas,7,7,7,9,2.29,22003,18,36500,47989,18989,60467,0.07368895161837004,0.1071490905455367,398,13,54,"[16, 234, 133, 1, 129]",1452
TR1_1654572006,13,Kalista,2,5,13,2,0.54,10806,15,37686,25523,2978,13593,0.1618982375697709,0.08471116243842025,62,10,33,"[52, 234, 36, 220]",1452
TR1_1654572006,14,Leona,2,5,5,5,2.0,10809,15,25625,71455,5888,181133,0.11008491883425654,0.23715885841433987,212,30,40,"[13, 234, 152, 18]",1452
TR1_1654572006,15,Teemo,5,1,7,3,0.57,8200,15,19355,23606,3157,10712,0.08315162902163453,0.0783509159956843,145,0,9,"[65, 234, 68, 48]",1452
TR1_1654572006,16,Aatrox,8,2,7,0,0.29,7450,12,10113,18493,6041,20922,0.04344805560983012,0.061379210654546074,189,3,27,"[84, 234, 103]",1452
TR1_1654568297,1,Khazix,1,24,6,0,4.0,23425,18,69314,69573,64655,77964,0.16376111172577879,0.17185657509770105,226,10,94,"[48, 80, 77, 211]",1428
TR1_1654568297,2,Maokai,1,1,5,21,4.4,21000,18,65136,100724,48471,276385,0.15389007114938558,0.24880348098976415,257,13,138,"[125, 94, 313, 75, 68]",1428
TR1_1654568297,3,Akshan,8,1,9,3,0.44,10935,15,16739,16676,3436,11521,0.16424410339157644,0.12686676936572633,140,24,65,"[166, 238, 52, 195]",1428
TR1_1654568297,4,Ryze,2,2,7,3,0.71,7000,15,14156,18648,6709,16367,0.13890106200259275,0.1418675925034441,297,34,78,"[75, 304, 67, 180]",1428
TR1_1654568297,5,Galio,2,3,6,2,0.83,7000,14,13702,19443,5881,53617,0.13444080460972216,0.14791316758846204,194,7,43,"[18, 304, 29, 67]",1428
TR1_1654568297,6,Jayce,3,5,5,2,1.4,7950,13,13116,13230,3262,23415,0.12868931619246074,0.10064849582725638,189,6,20,"[195, 304, 16]",1428
TR1_1654568297,7,TwistedFate,3,2,9,3,0.56,8577,13,8632,11777,546,3915,0.08469832405280397,0.08959254534389327,126,10,28,"[30, 304, 133]",1428
TR1_1654568297,8,Vi,4,9,6,2,1.83,14000,17,30981,19470,2400,27221,0.07319586211712743,0.0480952391416879,76,0,14,"[220, 227, 313, 234, 89]",1428
TR1_1654568297,9,Corki,4,3,5,7,2.0,13675,17,26343,12483,5206,6828,0.06223866321002191,0.03083595303284179,137,16,30,"[48, 52, 77, 135, 92]",1428
TR1_1654568297,10,Jhin,7,22,6,4,4.33,21874,18,84134,43240,14644,30694,0.1987742237895738,0.10680931289681826,152,12,43,"[81, 82, 38, 47, 238]",1428
TR1_1654568297,11,Blitzcrank,5,3,7,2,0.71,9000,15,11929,21382,6840,27305,0.11704231883636937,0.1626670048366027,163,7,40,"[58, 90, 311, 1]",1428
TR1_1654568297,12,Jhin,5,2,9,2,0.44,9000,15,9189,14881,1225,4665,0.09015931854598085,0.11321159067055116,73,1,29,"[243, 98, 82, 115]",1428
TR1_1654568297,13,Tryndamere,6,14,6,2,2.67,13750,17,52314,37535,14869,50001,0.12359805604962383,0.09271643768111244,110,0,44,"[220, 107, 47, 79, 71]",1428
TR1_1654568297,14,Ivern,6,2,8,15,2.12,11250,17,15530,32059,23972,37774,0.036691084860245464,0.07919180745532033,284,34,79,"[45, 21, 74, 18, 141]",1428
TR1_1654568297,15,Pyke,8,5,6,1,1.0,11750,15,14454,15410,5184,11766,0.1418247523684937,0.11723283386406401,161,25,74,"[19, 84, 89, 234]",1428
TR1_1654568297,16,Sejuani,7,4,4,20,6.0,18550,18,79510,89748,16420,290271,0.1878509270982432,0.22169119370475404,241,9,42,"[224, 2, 64, 18, 68]",1428
TR1_1654387950,1,Yorick,5,4,6,2,1.0,7800,14,28075,40806,8016,17638,0.14927765534021142,0.18349320637726302,223,7,49,"[38, 313]",1354
TR1_1654387950,2,Malzahar,5,2,11,3,0.45,8220,14,21039,27498,4726,10480,0.11186722053924404,0.12365238918798385,185,8,17,"[38, 50, 238]",1354
TR1_1654387950,3,Brand,3,5,7,13,2.57,21633,18,51473,43225,14864,54884,0.16274902505315683,0.15213593009785178,187,19,47,"[92, 180, 118, 77]",1354
TR1_1654387950,4,Pyke,3,15,6,5,3.33,23860,18,53085,44627,17959,29901,0.16784796652073863,0.157067863153857,267,40,95,"[82, 103, 150, 151]",1354
TR1_1654387950,5,Cassiopeia,1,1,6,4,0.83,9555,15,10506,17954,1332,10219,0.05586212587829624,0.0807330895846224,312,2,62,"[65, 2, 133]",1354
TR1_1654387950,6,Jayce,1,5,5,1,1.2,9821,15,18227,16177,1956,8792,0.09691694575582963,0.07274615235971164,284,3,34,"[223, 84, 238]",1354
TR1_1654387950,7,Pantheon,7,3,7,13,2.29,22981,18,43610,39745,3979,71635,0.1378901538883236,0.1398845174096452,259,1,31,"[227, 103, 313, 36]",1354
TR1_1654387950,8,Zyra,4,6,6,3,1.5,9778,15,26232,29167,9671,28582,0.1394818688567306,0.1311565115401379,314,15,70,"[312, 2, 309]",1354
TR1_1654387950,9,Taliyah,4,3,9,5,0.89,10062,15,30834,26634,8005,13947,0.1639515881968184,0.11976419888789971,373,51,187,"[24, 16, 50]",1354
TR1_1654387950,10,Hwei,8,7,5,6,2.6,12578,15,35681,19436,3538,12504,0.18972027036625333,0.08739758506494885,223,3,5,"[129, 238, 98]",1354
TR1_1654387950,11,Udyr,8,6,6,5,1.83,12306,15,17476,44712,21194,52221,0.09292232506661634,0.20105686699743264,317,0,6,"[67, 33, 20]",1354
TR1_1654387950,12,Pantheon,6,8,6,9,2.83,16781,18,40311,29202,7810,22082,0.12745888853389,0.1027788056304508,117,3,22,"[84, 82, 90, 227]",1354
TR1_1654387950,13,Katarina,6,9,8,7,2.0,16760,18,35511,27046,1686,29097,0.11227986692088833,0.0951922595933025,137,1,29,"[211, 321, 180, 133]",1354
TR1_1654387950,14,Akali,7,18,5,2,4.0,19018,18,52707,48763,24943,46631,0.16665284499140745,0.17162462170089451,443,0,14,"[129, 65, 151, 321]",1354
TR1_1654387950,15,Khazix,2,6,7,4,1.43,12284,16,18848,20774,1771,10401,0.0595961324398049,0.07311750372575541,139,15,20,"[16, 61, 223]",1354
TR1_1654387950,16,Renekton,2,5,5,5,2.0,10292,16,20723,30742,6853,41984,0.06552512165179025,0.10819849868824277,157,0,10,"[241, 63, 71]",1354
TR1_1654381972,1,Warwick,7,2,8,3,0.62,6750,13,13522,19398,5573,35580,0.05935096697191938,0.07936901534707126,126,0,43,"[228, 218]",1400
TR1_1654381972,2,Illaoi,2,7,7,3,1.43,10300,15,35429,49170,20492,72510,0.15550078946559928,0.2011795055793224,162,16,31,"[62, 138, 2]",1400
TR1_1654381972,3,JarvanIV,2,5,9,7,1.33,11500,15,29444,43125,11749,79211,0.1292324566095662,0.17644833086934075,221,0,7,"[234, 187]",1400
TR1_1654381972,4,Akshan,1,21,7,5,3.71,24680,18,94280,38593,10127,28689,0.24893675585170413,0.10551657998742534,323,19,76,"[234, 51, 2, 226]",1400
TR1_1654381972,5,Amumu,1,3,5,21,4.8,19155,18,39994,96953,12435,107611,0.10560010233159912,0.2650761127607737,173,20,65,"[216, 110, 13, 218]",1400
TR1_1654381972,6,Gwen,6,3,8,7,1.25,12025,15,19689,28826,6827,29550,0.08641749192978529,0.11794158381719169,119,28,104,"[233, 205, 63]",1400
TR1_1654381972,7,Leblanc,3,11,5,6,3.4,18250,18,52106,35256,9441,45765,0.13758192440442893,0.09639387592360786,329,10,26,"[62, 49, 180, 46]",1400
TR1_1654381972,8,Zed,3,7,9,11,2.0,18500,18,50670,38446,12379,43379,0.13378890161536044,0.10511477209863022,348,7,30,"[19, 60, 90, 320]",1400
TR1_1654381972,9,Mordekaiser,4,8,9,9,1.89,16500,18,51478,35185,9365,66049,0.13592309964328028,0.09619932114833261,242,0,16,"[48, 32, 68, 80]",1400
TR1_1654381972,10,Warwick,4,8,6,5,2.17,18015,18,39156,51067,23007,53357,0.1033878271583233,0.13962151839252837,200,0,26,"[41, 237, 82, 57]",1400
TR1_1654381972,11,Graves,8,11,8,2,1.62,11005,16,37424,24602,3595,27364,0.16425688327320448,0.10066048288074879,167,20,69,"[243, 46, 227]",1400
TR1_1654381972,12,Quinn,5,8,6,5,2.17,11925,17,32653,39297,17622,22757,0.08621841020100492,0.107439988417065,93,8,25,"[134, 22, 107, 138]",1400
TR1_1654381972,13,Ezreal,7,3,6,1,0.67,10450,13,16644,19568,4073,17745,0.07305095879746669,0.08006517652831477,179,55,89,"[219, 170]",1400
TR1_1654381972,14,Lillia,8,2,8,11,1.62,12750,17,27189,30578,6775,21679,0.119333516709898,0.1251114302600143,322,11,51,"[1, 26, 238]",1400
TR1_1654381972,15,Viktor,5,3,7,6,1.29,13305,18,18392,30957,3251,33781,0.04856297879429889,0.0846378312716369,332,42,22,"[30, 251, 16, 44]",1400
TR1_1654381972,16,XinZhao,6,12,6,5,2.83,11065,15,48498,29139,10203,24073,0.2128569362425607,0.11922447471799602,151,0,42,"[54, 206, 29]",1400
TR1_1653946216,1,Ornn,8,17,5,13,6.0,28125,18,108232,280991,48372,166613,0.13695355150319677,0.3939206659795732,429,61,90,"[216, 313, 13, 150]",1884
TR1_1653946216,2,Smolder,7,25,8,2,3.38,33300,18,339001,46583,7518,37484,0.4289620831199579,0.06530560064942843,371,18,90,"[166, 92, 250, 82]",1884
TR1_1653946216,3,Akshan,6,5,8,2,0.88,10625,16,36482,29387,5075,17728,0.15387681870436887,0.09212708420351531,198,40,75,"[219, 103, 238]",1884
TR1_1653946216,4,Lucian,6,2,9,4,0.67,11305,16,23129,31368,5684,16131,0.09755493577807339,0.09833831680992497,279,6,48,"[19, 107, 89]",1884
TR1_1653946216,5,Chogath,1,5,8,13,2.25,25825,18,28133,115529,25797,217095,0.03559906897665799,0.16195989037938024,288,0,65,"[123, 149, 113, 94]",1884
TR1_1653946216,6,Khazix,1,14,10,5,1.9,29728,18,108999,41068,7228,44552,0.13792480070345378,0.057573096910102935,422,16,75,"[48, 38, 236, 16]",1884
TR1_1653946216,7,Rell,8,13,6,16,4.83,28170,18,62087,104672,17661,239234,0.07856347075043633,0.1467405871223618,395,3,95,"[18, 152, 149, 312]",1884
TR1_1653946216,8,TwistedFate,2,1,9,2,0.33,7867,14,10815,21347,2313,22221,0.04561964748027905,0.06692434247918434,106,0,9,"[14, 133, 36]",1884
TR1_1653946216,9,Illaoi,2,3,7,1,0.57,7115,14,24942,39445,18105,28302,0.10520535689376916,0.12365863699978845,203,3,11,"[41, 64, 77]",1884
TR1_1653946216,10,Lulu,7,3,6,25,4.67,28500,18,29179,50452,21369,74418,0.03692222152959239,0.0707296796029107,310,39,79,"[53, 129, 74, 72]",1884
TR1_1653946216,11,Teemo,3,4,10,8,1.2,17025,18,54701,40273,7086,21253,0.06921744124942894,0.05645921367694358,487,0,8,"[30, 92, 241, 129]",1884
TR1_1653946216,12,Shaco,3,9,8,4,1.62,19056,18,59948,33748,7913,17373,0.07585736216727584,0.047311265679299094,333,16,19,"[219, 38, 215, 50]",1884
TR1_1653946216,13,Elise,4,5,7,2,1.0,11290,15,34930,26913,7762,27657,0.1473330934686313,0.08437245896835761,366,0,38,"[19, 63, 180]",1884
TR1_1653946216,14,Kassadin,4,3,8,3,0.75,9770,15,22625,22206,606,31994,0.09543131307603142,0.06961478489168824,306,0,16,"[48, 238, 63]",1884
TR1_1653946216,15,Aatrox,5,12,10,3,1.5,13570,18,57765,58502,26195,46891,0.24364353699792343,0.18340184545962365,331,9,48,"[310, 313, 211, 77]",1884
TR1_1653946216,16,Nunu,5,5,7,11,2.29,13685,18,26396,89814,51071,67274,0.11133529760092337,0.28156253018791744,294,98,146,"[156, 67, 13, 94]",1884
TR1_1653938102,1,KogMaw,8,19,12,3,1.83,23360,18,87758,47210,8006,28876,0.25098103072620637,0.14378338278587557,213,10,48,"[225, 305, 52, 129]",1472
TR1_1653938102,2,LeeSin,1,6,6,5,1.83,10000,15,16080,22416,2463,19427,0.10467720499888858,0.12171498596602119,146,20,39,"[88, 206, 223]",1472
TR1_1653938102,3,Yunara,1,6,6,5,1.83,11800,15,20604,26271,8275,14495,0.1341247996355067,0.14264711975554098,98,18,24,"[81, 206, 301]",1472
TR1_1653938102,4,Brand,5,12,6,7,3.17,16750,18,44144,41174,11530,31209,0.12624817486641918,0.1253993228567668,413,12,67,"[45, 97, 133, 20]",1472
TR1_1653938102,5,Maokai,5,7,4,11,4.5,16750,18,23395,55056,17556,104925,0.06690869836840482,0.1676788537312001,179,12,123,"[18, 108, 47, 13]",1472
TR1_1653938102,6,Nautilus,4,5,6,4,1.5,7450,14,15263,30228,7102,193789,0.09936008403708842,0.16413597406668212,243,27,223,"[18, 44, 312]",1472
TR1_1653938102,7,AurelionSol,4,4,12,4,0.67,8450,14,28926,25451,2231,11157,0.18829550268576511,0.13819418277322645,182,66,122,"[45, 97, 68]",1472
TR1_1653938102,8,Shyvana,2,2,7,0,0.29,7200,13,11477,22661,2623,36624,0.07471406657959442,0.12304720833281324,125,6,22,"[125, 46]",1472
TR1_1653938102,9,Zed,3,10,8,10,2.5,21875,18,57647,32368,3403,25855,0.16486558407281104,0.09858163938025291,528,30,92,"[48, 80, 47, 2]",1472
TR1_1653938102,10,Khazix,3,12,6,8,3.33,22760,28,57327,42482,26016,41365,0.16394970319933738,0.12938487950270647,501,17,74,"[96, 176, 250, 311]",1472
