match_id,player_index,champion,subteamId,kills,deaths,assists,kda,goldEarned,champLevel,totalDamageDealtToChampions,totalDamageTaken,totalHeal,damageSelfMitigated,teamDamagePercentage,damageTakenOnTeamPercentage,abilityUses,skillshotsHit,skillshotsDodged,augments,gameDuration
EUW1_7617876402,7,Rakan,1,1,6,6,1.17,9500,15,10884,24106,9719,18799,0.06237529350794273,0.07990548981702401,235,5,44,"[103, 35, 198]",1574
EUW1_7617876402,8,Naafiri,3,17,8,2,2.38,20250,18,78256,37451,11403,32717,0.16441494103735527,0.10430368781884268,195,1,69,"[82, 310, 223, 32]",1574
EUW1_7617876402,9,Shyvana,3,3,4,18,5.25,16750,18,50761,62911,24413,78483,0.10664978712461924,0.1752096307052787,291,12,86,"[13, 156, 84, 22]",1574
EUW1_7617876402,10,Rumble,8,14,6,6,3.33,24453,18,92934,45374,9577,74386,0.19525357054859407,0.12636986656614596,261,27,248,"[33, 45, 309, 120]",1574
EUW1_7617876402,11,Aatrox,4,4,8,6,1.25,11562,15,31973,53512,27592,44413,0.1832319861908402,0.17737543941334105,211,4,29,"[84, 75, 2]",1574
EUW1_7617876402,12,TahmKench,4,6,7,3,1.29,10059,15,22377,68588,12859,167302,0.12824450386478126,0.22734719531453854,161,8,61,"[118, 125, 94]",1574
EUW1_7617876402,13,TahmKench,5,3,6,2,0.83,7003,14,13357,29196,6985,43463,0.07655006259760395,0.09677683866720223,98,26,45,"[152, 18, 150]",1574
EUW1_7617876402,14,Hecarim,6,11,6,8,3.17,25978,29,76635,67030,30810,143294,0.1610097884697411,0.186682580643175,296,7,96,"[36, 96, 67, 87]",1574
EUW1_7617876402,15,MissFortune,8,7,7,9,2.29,23768,18,40670,49785,24067,51860,0.08544707215333305,0.1386553161637329,159,27,333,"[77, 81, 312, 305]",1574
EUW1_7617876402,16,Volibear,5,2,8,3,0.62,7018,14,18259,30846,6741,31691,0.10464077864835582,0.10224670630367953,163,0,21,"[118, 1, 149]",1574
EUW1_7617595064,1,Skarner,4,13,7,9,3.14,28016,18,54341,68472,9829,276570,0.0970560007626354,0.12567829182386664,483,2,92,"[90, 238, 234, 320]",1914
EUW1_7617595064,2,Annie,6,1,8,2,0.38,6755,14,11570,23399,1536,22572,0.04694765409967871,0.08418227353044869,179,0,10,"[97, 192, 48]",1914
EUW1_7617595064,3,Illaoi,5,3,7,2,0.71,11375,15,27944,36646,11580,27966,0.1133879285616912,0.13183842370485502,186,7,23,"[181, 90, 48]",1914
EUW1_7617595064,4,Tryndamere,8,18,7,3,3.0,25600,18,69013,74578,11851,91043,0.12325963451602749,0.13688558900145312,84,0,31,"[39, 52, 79, 77]",1914
EUW1_7617595064,5,Talon,3,10,9,14,2.67,19655,18,56878,39984,12016,36697,0.10158612283760088,0.07338900256298346,239,38,146,"[324, 62, 310, 27]",1914
EUW1_7617595064,6,Katarina,3,14,8,8,2.75,18500,18,70640,44653,30744,40420,0.126166344767069,0.08195882303082198,155,2,83,"[171, 154, 177, 2]",1914
EUW1_7617595064,7,Nasus,1,14,8,8,2.75,30205,18,79647,107691,45699,169065,0.14225292007060295,0.19766097807379168,264,0,56,"[138, 79, 103]",1914
EUW1_7617595064,8,Briar,1,10,16,12,1.38,27660,18,57616,78932,69420,51460,0.10290456980406426,0.1448760685496733,313,6,70,"[237, 152, 225, 52]",1914
EUW1_7617595064,9,Bard,6,3,9,1,0.44,6955,14,40051,35108,20487,31057,0.16251271334214626,0.1263047660169328,158,51,58,"[205, 180, 135]",1914
EUW1_7617595064,10,RekSai,5,3,8,1,0.5,10325,15,16805,46680,8568,40488,0.06818880962144917,0.16793704122495648,168,3,21,"[324, 208, 41]",1914
EUW1_7617595064,11,Garen,2,12,6,0,2.0,10805,16,40964,31944,5490,48192,0.16621807818381631,0.11492165197749203,114,0,11,"[32, 74, 125]",1914
EUW1_7617595064,12,Sett,2,0,6,11,1.83,10765,16,15588,32455,1048,52816,0.06325221437354016,0.11676165839970587,92,0,8,"[218, 231, 11]",1914
EUW1_7617595064,13,Soraka,8,4,7,18,3.14,31030,18,49104,74401,95647,76121,0.0877028404903471,0.13655943907776819,547,30,83,"[326, 198, 15, 92]",1914
EUW1_7617595064,14,Renekton,7,7,7,9,2.29,18805,18,38932,43229,12808,55006,0.15797513726740212,0.1555216230634768,269,0,37,"[226, 103, 14, 118]",1914
EUW1_7617595064,15,Corki,7,9,6,7,2.67,17015,18,54592,28500,7140,20672,0.22151746455027607,0.10253256208213231,167,28,66,"[46, 77, 323, 301]",1914
EUW1_7617595064,16,Jinx,4,11,13,11,1.69,36800,18,122658,56112,11864,48248,0.21907156675165293,0.10299180787964163,251,39,139,"[171, 109, 243, 84]",1914
EUW1_7616966714,1,Olaf,6,10,6,5,2.5,13263,18,60961,39042,22614,52500,0.12657547600922833,0.08876707515801655,204,16,53,"[58, 89, 107, 39]",1547
EUW1_7616966714,2,Brand,3,12,5,8,4.0,20770,18,80623,32489,5997,54071,0.16740132775027733,0.07386843464286054,424,37,75,"[234, 227, 211, 32]",1547
EUW1_7616966714,3,Rakan,1,4,6,18,3.67,18793,18,31438,66553,28891,150070,0.06527560900194583,0.15131808994962784,445,21,50,"[216, 215, 238, 136]",1547
EUW1_7616966714,4,MasterYi,1,18,12,1,1.58,16293,18,88504,64368,26089,51788,0.18376457496505466,0.1463501875065375,122,0,31,"[79, 82, 74, 320]",1547
EUW1_7616966714,5,Zyra,5,16,8,4,2.5,14010,18,75704,39194,5880,38701,0.1571880275393137,0.08911287078915718,350,17,32,"[219, 180, 223, 9]",1547
EUW1_7616966714,6,MasterYi,7,4,6,4,1.33,9750,15,26761,27928,9655,23913,0.11785397407930823,0.09865096187727843,115,0,46,"[81, 312, 103]",1547
EUW1_7616966714,7,FiddleSticks,4,0,9,2,0.22,6709,13,12327,23471,5522,13383,0.05428588176355593,0.0829080053291722,142,0,4,"[45, 211]",1547
EUW1_7616966714,8,Pyke,3,9,6,12,3.5,20128,18,56024,44771,21354,41500,0.11632573465979942,0.1017941606543766,231,35,84,"[310, 82, 84, 226]",1547
EUW1_7616966714,9,Ahri,7,5,7,4,1.29,9769,15,46044,24781,11553,12983,0.2027695809443294,0.08753330077224097,368,57,84,"[30, 65, 16]",1547
EUW1_7616966714,10,Aatrox,8,5,6,1,1.0,7750,14,30542,36257,14947,26387,0.1345053829166126,0.12807052236986508,265,12,139,"[219, 89, 92]",1547
EUW1_7616966714,11,Nautilus,2,10,7,2,1.71,10818,17,23263,56396,1709,75388,0.10244870851330111,0.19920797290697823,125,15,25,"[41, 129, 92, 80]",1547
EUW1_7616966714,12,Rell,2,2,5,10,2.4,13318,17,55123,48101,10245,109368,0.24275600307458844,0.16990547339562917,256,0,16,"[193, 63, 67, 80]",1547
EUW1_7616966714,13,Lulu,8,1,6,5,1.0,9338,14,14299,30458,20091,30762,0.06297404976307322,0.10758781029266266,129,24,145,"[78, 21, 47]",1547
EUW1_7616966714,14,Leona,5,5,7,16,3.0,14000,18,55157,101492,24123,117958,0.11452497629643041,0.23075623222021732,320,22,79,"[216, 223, 215, 10]",1547
EUW1_7616966714,15,Vladimir,4,2,6,0,0.33,6700,13,18712,35709,17758,21237,0.08240641894523107,0.12613595305617328,152,0,11,"[41, 68]",1547
EUW1_7616966714,16,Amumu,6,5,6,10,2.5,21362,18,33204,51913,18515,56982,0.06894427377795032,0.11803294907920645,208,28,65,"[123, 227, 67, 57]",1547
EUW1_7616388695,1,Nami,2,1,5,16,3.4,16800,18,14996,27110,34316,29237,0.04052557574972468,0.08535463937785466,137,38,115,"[15, 326, 12, 45, 311]",1490
EUW1_7616388695,2,AurelionSol,2,16,7,1,2.43,16850,18,62077,35731,4124,28581,0.16775303722531165,0.11249901480683298,176,61,99,"[219, 205, 44, 48, 211]",1490
EUW1_7616388695,3,Nilah,3,7,10,8,1.5,11580,16,25933,24113,8772,13630,0.15944349617307074,0.10784431896730574,158,7,54,"[243, 171, 214, 27]",1490
EUW1_7616388695,4,Ahri,3,10,6,6,2.67,13100,16,38249,23915,9833,13585,0.23516073895998973,0.10695955661481953,189,66,112,"[135, 138, 305, 234]",1490
EUW1_7616388695,5,Belveth,7,7,12,15,1.83,18520,18,52425,71713,46217,75995,0.14166951396203586,0.22578686056920302,402,0,43,"[81, 172, 73, 41, 313]",1490
EUW1_7616388695,6,Chogath,7,20,3,6,8.67,20120,18,57133,40335,19405,111204,0.15439248020144494,0.12699402343714666,290,0,16,"[228, 204, 222, 193, 61]",1490
EUW1_7616388695,7,Jinx,8,14,8,8,2.75,16500,18,71942,45027,20781,18759,0.19441345447976957,0.14176604529543843,139,16,67,"[134, 170, 87, 225, 52]",1490
EUW1_7616388695,8,Annie,8,10,8,13,2.88,19870,18,51949,40200,16854,80830,0.14038378698503678,0.12656893529952298,242,0,41,"[228, 237, 301, 80, 2]",1490
EUW1_7616388695,9,MissFortune,4,8,9,2,1.11,16445,25,40038,30638,9668,14919,0.10819819869651578,0.09646316621556805,119,68,471,"[96, 22, 105, 234, 211]",1490
EUW1_7616388695,10,Qiyana,4,4,10,6,1.0,16150,18,19488,26860,3476,20676,0.052663952700160714,0.08456731499843319,214,23,199,"[88, 136, 181, 228, 116]",1490
EUW1_7616388695,11,Chogath,6,8,8,1,1.12,12550,15,17328,31973,11421,44542,0.10653606860292546,0.14299594496369195,184,0,2,"[243, 305, 57, 234]",1490
EUW1_7616388695,12,Teemo,6,2,6,7,1.5,10075,15,23184,17772,3956,9664,0.14254295782998744,0.07948650153694145,114,0,8,"[156, 205, 44, 41]",1490
EUW1_7616388695,13,Zac,5,0,6,3,0.5,7000,13,21280,57032,41436,20070,0.13083706329085226,0.25506875170993654,59,9,84,"[41, 304, 120]",1490
EUW1_7616388695,14,Chogath,5,3,7,0,0.43,7000,13,7381,26352,3782,24379,0.04538404816518578,0.11785910833225768,80,0,70,"[216, 304, 57]",1490
EUW1_7616388695,15,Jax,1,5,7,2,1.0,7450,14,19232,26852,6323,25022,0.11824227535048255,0.12009345887049139,84,0,63,"[79, 51, 238, 7]",1490
EUW1_7616388695,16,Nami,1,2,6,5,1.17,7450,14,10060,15582,17813,10367,0.06185335162750603,0.06969235900455574,184,5,57,"[30, 304, 69, 37]",1490
EUW1_7616338570,1,Lissandra,8,8,5,8,3.2,26000,18,44711,31725,8374,61844,0.12373285952854356,0.09692688984246871,336,32,61,"[129, 45, 195, 243]",1381
EUW1_7616338570,2,Katarina,2,3,6,3,1.0,9696,15,13047,21052,3426,20551,0.09238102108191887,0.11974724374889338,100,0,44,"[38, 225, 194]",1381
EUW1_7616338570,3,Irelia,2,3,7,3,0.86,12250,15,19929,23231,5411,20812,0.14110916357123993,0.1321423559028996,145,6,40,"[107, 66, 234]",1381
EUW1_7616338570,4,Ashe,3,6,9,11,1.89,24000,18,33611,37787,3342,32138,0.09301637883712849,0.11544552261927911,89,6,76,"[36, 81, 225, 115]",1381
EUW1_7616338570,5,Zaahen,3,12,6,4,2.67,21750,18,83035,47800,24170,74478,0.229790011683599,0.14603804501971007,244,0,32,"[154, 195, 11, 220]",1381
EUW1_7616338570,6,Jinx,4,10,10,5,1.5,18500,18,47165,36178,16028,34958,0.1305258334091346,0.11053015079232989,92,14,64,"[217, 115, 219, 177]",1381
EUW1_7616338570,7,Malphite,4,7,5,10,3.4,18750,18,50733,52857,1793,148816,0.1404000612045658,0.16148734359928307,115,0,82,"[238, 193, 225, 228]",1381
EUW1_7616338570,8,Kayn,5,9,5,3,2.4,11250,17,29196,36814,10761,35285,0.08079752906861494,0.11247226417534757,171,0,52,"[82, 81, 27, 19]",1381
EUW1_7616338570,9,AurelionSol,5,4,6,9,2.17,12000,17,24534,29950,6670,42802,0.06789744366296084,0.09150250329221013,166,0,20,"[2, 62, 193, 41]",1381
EUW1_7616338570,10,Jax,7,8,5,5,2.6,13250,17,17752,20442,5648,40718,0.12569991511183132,0.1162740167573815,163,0,6,"[71, 81, 220, 58]",1381
EUW1_7616338570,11,Ivern,1,0,4,2,0.5,3850,9,3778,6380,165,2879,0.026750699851584427,0.03629314739030176,67,8,11,[116],1381
EUW1_7616338570,12,Jayce,1,1,5,0,0.2,3850,9,4849,6984,451,2320,0.03433430913153614,0.03972666678977677,42,3,7,[238],1381
EUW1_7616338570,13,Zaahen,7,7,7,5,1.71,11000,17,38695,52983,16319,53359,0.2739814694626538,0.30137176385381487,200,21,20,"[47, 48, 41, 6]",1381
EUW1_7616338570,14,Udyr,6,5,6,3,1.33,12500,15,30286,26018,2200,28026,0.2144422248171366,0.14799043159514075,131,0,61,"[36, 48, 234]",1381
EUW1_7616338570,15,Ashe,6,3,9,4,0.78,11250,15,12894,18715,1300,10885,0.09130119697209899,0.10645437396179137,78,38,359,"[113, 220, 243]",1381
EUW1_7616338570,16,Volibear,8,11,4,7,4.5,25800,18,48363,54202,18851,85030,0.1338398826054528,0.16559728065937146,181,0,31,"[118, 193, 243, 174]",1381
EUW1_7616292309,1,Lux,3,6,5,4,2.0,11500,15,15394,19354,11894,14876,0.10042045734902322,0.11490884694557374,163,5,38,"[219, 32, 207, 45]",1376
