match_id,player_index,champion,subteamId,kills,deaths,assists,kda,goldEarned,champLevel,totalDamageDealtToChampions,totalDamageTaken,totalHeal,damageSelfMitigated,teamDamagePercentage,damageTakenOnTeamPercentage,abilityUses,skillshotsHit,skillshotsDodged,augments,gameDuration,augment_name,rarity
TR1_1664433840,16,Rammus,4,1,6,0,0.17,6200,12,9378,22827,2279,30140,0.0636621638026246,0.0887450667233557,140,0,87,237,1454,Transmute: Gold,0.0
TR1_1664433840,16,Rammus,4,1,6,0,0.17,6200,12,9378,22827,2279,30140,0.0636621638026246,0.0887450667233557,140,0,87,48,1454,Jeweled Gauntlet,2.0
TR1_1664433840,16,Rammus,4,1,6,0,0.17,6200,12,9378,22827,2279,30140,0.0636621638026246,0.0887450667233557,140,0,87,152,1454,Quest: Steel Your Heart,1.0
TR1_1657751538,1,Thresh,7,4,3,0,1.33,6000,9,9582,10736,818,5912,0.0509937129179467,0.052922055794382,66,7,18,39,1281,Frost Wraith,0.0
TR1_1657751538,2,Sett,1,8,7,6,2.0,19761,18,78692,65711,25785,91410,0.1671108178477821,0.1439951730689872,158,4,9,237,1281,Transmute: Gold,0.0
TR1_1657751538,2,Sett,1,8,7,6,2.0,19761,18,78692,65711,25785,91410,0.1671108178477821,0.1439951730689872,158,4,9,206,1281,escAPADe,0.0
TR1_1657751538,2,Sett,1,8,7,6,2.0,19761,18,78692,65711,25785,91410,0.1671108178477821,0.1439951730689872,158,4,9,208,1281,Orbital Laser,2.0
TR1_1657751538,2,Sett,1,8,7,6,2.0,19761,18,78692,65711,25785,91410,0.1671108178477821,0.1439951730689872,158,4,9,82,1281,The Brutalizer,1.0
TR1_1657751538,3,Volibear,1,7,6,6,2.17,17150,18,30525,59647,9118,68527,0.0648247258337405,0.1307062614523775,194,0,2,49,1281,Juice Box,0.0
TR1_1657751538,3,Volibear,1,7,6,6,2.17,17150,18,30525,59647,9118,68527,0.0648247258337405,0.1307062614523775,194,0,2,9,1281,Buff Buddies,0.0
TR1_1657751538,3,Volibear,1,7,6,6,2.17,17150,18,30525,59647,9118,68527,0.0648247258337405,0.1307062614523775,194,0,2,123,1281,Summoner's Roulette,2.0
TR1_1657751538,3,Volibear,1,7,6,6,2.17,17150,18,30525,59647,9118,68527,0.0648247258337405,0.1307062614523775,194,0,2,238,1281,Transmute: Prismatic,1.0
TR1_1657751538,4,Vi,8,7,9,10,1.89,15250,18,55806,58785,14489,69400,0.118510320965914,0.1288185930043585,182,0,1,57,1281,Mountain Soul,0.0
TR1_1657751538,4,Vi,8,7,9,10,1.89,15250,18,55806,58785,14489,69400,0.118510320965914,0.1288185930043585,182,0,1,136,1281,Slap Around,0.0
TR1_1657751538,4,Vi,8,7,9,10,1.89,15250,18,55806,58785,14489,69400,0.118510320965914,0.1288185930043585,182,0,1,195,1281,Giant Slayer,2.0
TR1_1657751538,4,Vi,8,7,9,10,1.89,15250,18,55806,58785,14489,69400,0.118510320965914,0.1288185930043585,182,0,1,84,1281,Thread the Needle,1.0
TR1_1657751538,5,Sett,6,12,5,4,3.2,21255,18,86034,57004,17013,69710,0.1827035037744904,0.1249148755482805,150,0,3,7,1281,Blunt Force,0.0
TR1_1657751538,5,Sett,6,12,5,4,3.2,21255,18,86034,57004,17013,69710,0.1827035037744904,0.1249148755482805,150,0,3,39,1281,Frost Wraith,0.0
TR1_1657751538,5,Sett,6,12,5,4,3.2,21255,18,86034,57004,17013,69710,0.1827035037744904,0.1249148755482805,150,0,3,48,1281,Jeweled Gauntlet,2.0
TR1_1657751538,5,Sett,6,12,5,4,3.2,21255,18,86034,57004,17013,69710,0.1827035037744904,0.1249148755482805,150,0,3,118,1281,Critical Healing,1.0
TR1_1657751538,6,Jhin,6,6,10,5,1.1,18765,18,49737,38048,6554,24425,0.105621542546649,0.0833765569855737,122,3,7,80,1281,Tank It Or Leave It,0.0
TR1_1657751538,6,Jhin,6,6,10,5,1.1,18765,18,49737,38048,6554,24425,0.105621542546649,0.0833765569855737,122,3,7,105,1281,Homeguard,0.0
TR1_1657751538,6,Jhin,6,6,10,5,1.1,18765,18,49737,38048,6554,24425,0.105621542546649,0.0833765569855737,122,3,7,195,1281,Giant Slayer,2.0
TR1_1657751538,6,Jhin,6,6,10,5,1.1,18765,18,49737,38048,6554,24425,0.105621542546649,0.0833765569855737,122,3,7,71,1281,Scopier Weapons,1.0
TR1_1657751538,7,Shyvana,7,0,4,4,1.0,6100,9,10081,11933,1701,7109,0.0536488529383953,0.0588255625201233,76,7,10,46,1281,Infernal Soul,0.0
TR1_1657751538,8,Amumu,2,0,7,4,0.57,10200,14,7290,19865,1640,27748,0.0387946007077532,0.0979234153464006,134,12,18,171,1281,Dematerialize,0.0
TR1_1657751538,8,Amumu,2,0,7,4,0.57,10200,14,7290,19865,1640,27748,0.0387946007077532,0.0979234153464006,134,12,18,49,1281,Juice Box,0.0
TR1_1657751538,8,Amumu,2,0,7,4,0.57,10200,14,7290,19865,1640,27748,0.0387946007077532,0.0979234153464006,134,12,18,234,1281,Gamba Anvil,2.0
